kb_number,short_description,introduction,instructions,article_body
KB000A7586,Ask IT Process & Workflow to handle Cybersecurity Issues reported from Cybersecurity Operations team/KONE users,What is the process and steps to be followed by ASKIT to handle Cybersecurity Incident?,"Introduction: This KB article will help ASKIT to handle/assist/support KONE users/KONE business units if Security Incidents are reported to ASKIT. Also, this KBA will help ASKIT to handle and process Security Incidents when assigned by KONE Cyber Defense team ( KONE.KTI.CybersecurityOperations ). What is Security Issue? A security issue is any unmitigated risk or vulnerability in our system that hackers can use to do damage to systems or data. This includes vulnerabilities in the servers and software/applications connecting our business to customers, as well as our business processes and people What is Account compromise? Access to Microsoft O365 mailboxes, data and other services, is controlled through the use of credentials, for example a username and password. When someone other than the intended user steals those credentials, the stolen credentials are considered compromised. With them the attacker can sign in as the original user and perform illicit actions. Using the stolen credentials, the attacker can access the user's Microsoft 365 mailbox, SharePoint folders, or files in the user's OneDrive. One action commonly seen is the attacker sending emails as the original user to recipients both inside and outside of the organization. What is a Malware/Malicious activity? Malwares are infected files found on a host. Some of the source of malware infections could be but not limited to, user has downloaded something from suspicious sites; has clicked on phishing link mistakenly and provided his credentials; user has connected corrupted infected USB to system; network traffic etc. Common Malware Types: · Cryptominer · Wannacrypt · Double Pulsar · Trojan · Adware/Pub · DNS query for malware domain · Keygen · DDoS, Password stealing worm · Dealply · Ramsomware · Malicious files Overview of Cybersecurity Operations: Our SOC provider (Deloitte) is responsible for monitoring Security events and logs for IT, IoT and OT environment in centralized SIEM. They are responsible for performing initial triage and remote response actions wherever possible to remediate the issue. The Incidents for which there is a need for KONE Support/Intervention is required to remediate the issue, those Incidents will be assigned to our operations queue ( KONE.KTI.Cybersecurity Operations ) which is monitored 24/7 by Cyber Defense (L1) Team. Cyber Defense Team reviews the assigned Security Incidents and performs needed triage and contact end users for investigating and may assign the tickets to ASKIT either for contacting the China user to verify the legitimacy or to perform any remote actions or to assign to respective queues for actions expected to remediate the issue. General Instructions for ASKIT to handle Security Issues: 1. Security Incidents will be assigned from KONE.KTI.CybersecurityOperations queue to ASKIT queue with the actions required from ASKIT team. 2. Since Security Incidents should be processed and handled on time without delays, ASKIT should be strictly adhering to the acknowledgment time and resolution time as agreed with KONE. SLA for Security Incidents is 2 days 3. Since the Security Incident priorities will be based on Microsoft tool priority, the security Incidents will be assigned to ASKIT as P3 in most of the cases. 4. These Security P3 cases should be picked up and acted on time efficiently and should not be handled like a normal P3 IT Incident. 5. Wherever there is a need for raising an MI, Cybersecurity Operations team will be contacting ASKIT to increase the priority to P1 or P2. 6. If there are any issues in understanding the recommendations provided by Cybersecurity Operations team, please contact the Cyber Defense via Teams and ask your queries over ticket to get the clarifications. 7. Regular follow ups to get the needed actions completed on time should be made from ASKIT. 8. Please ensure that ASKIT is following all the escalation matrix required for support within 2 days. Any security Incident should not be aging more than 2 days unless until there is a proper reasoning behind the delay (Reimage, user out of office etc.). If any ticket is more than 2 days, then it should be brought to the notice of Cybersecurity Operations team in the Weekly calls that is organized with Cybersecurity Operations team. Process to be followed by ASKIT to handle security Incidents: 1. Check the Next actions provided in the activity feed (Notes section) 2. Go through the recommendations and actions expected from ASKIT and plan the response actions correctly. 3. If there is a need to contact the user for verifying the legitimacy of the Incident. Escalation matrix : User à User’s manager à Region SDM 4. Account compromise/Account related security issue à Contact the user over phone call to verify the legitimacy instead of chat or email since we might not be sure if the user/hacker is responding to us. 5. If the user is not responding/not reachable to call, call the users manager and explain the issue on his colleague system/account and its adverse impact to KONE. Get the needed support from user’s manager for confirming whether it is legitimate or not. · Calling the users/user’s manager and SDM should be done in their region Business hours and not in non-business hours. · If the Incident has been received at non-business hours, then an email should be sent explaining the issue to user’s manager. · On the next business day, an attempt should be taken and followed from Step 4 6. If the assigned security Incident is not account related or something related to malware/suspicious activity, then ASKIT can investigate with the user over email or Teams chat. Eg: Investigating with user related to inserting infected USB, Scheduling engineer visit for Reimage etc. 7. Update the Investigation results in the Incident Activity feed clearly with the actions taken and outcome. 8. If the user confirms it as a legitimate activity, update clearly in the Activity feed which can be Finetuned. If the user is not aware this can be Illegitimate (Turning out to be a real threat or security impact to KONE). 9. All the Incidents should be assigned back to KONE.KTI.CybersecurityOperations queue once the recommended actions are completed to ensure the mitigated actions are successful or not and so these Incidents should not be resolved in ASKIT queue or any other queues. To note: If the next steps contain instructions to assign the ticket to other supporting teams, assign it to their respective queue with actions expected from them and ask them to assign it to KONE.KTI.CybersecurityOperations once their actions are completed. If there is a need for investigation with KONE Stakeholders, then email them with the exact issue and update the findings of the investigation. Note: Do not follow 3 Strike policy and resolve the Incident if there is no response from the user /escalation points, rather assign the Incident to KONE.KTI.CybersecurityOperations. Please ensure if all the needed actions and effort to resolve the Security Incident are taken by ASKIT before assigning it to Cybersecurity Operations queue. Account compromise issues (Reported by KONE End - users): 1. If users contact ASKIT stating their account is compromised, received phishing email/suspicious email/email from unknown sender – Educate the user to report those emails via Hoxhunt ( Report this email ) option in Outlook. 2. If the user informs that there is issue in Hoxhunt Functionality in Outlook, please follow KBA1652. 3. If the user informs there is a security issue on his system, please ensure to check all information required for analysis and investigation are collected from the users and assign the ticket to KONE.KTI.CybersecurityOperations. The Cybersecurity Team will update on next actions to be taken Note: During Security Incidents, as an immediate remediation account level actions like password reset, Account Enable and Disable is performed by Security Operations team via MyAccess. The users manager will an automated Email notification with temporary password which can be communicated to user for reset his/her password. Please note, this works if the account is connected in KONE network. If the user is connected remotely, user will not be able to login back with the temporary password provided by MyAccess. In that case, below steps to be followed. https://passwordreset.microsoftonline.com/ - Password reset has to done by the user through this portal. Once password is reset, VPN needs to be connected. Once VPN connected, user has to lock the screen (Windows Key + L ) and then user need to unlock it with the newly changed password. Since VPN connection is in background, this will accept the newly changed password and that will sync with the end user host. ASKIT can assist the users to reset the password using new self-service password reset portal. The end users can reset their own password if their mobile number is updated in Workday or by using MFA (Multi Factor Authentication) by following the above steps. If Account is locked out, unlock the user account by following the troubleshooting steps. If users suspect that someone else has their password, they can use the portal to change it immediately. Self-Service password reset portal Link: https://passwordreset.microsoftonline.com/ List of Cybersecurity Operations Team members. Global Cybersecurity Operations Team: thomas.lakofski@kone.com niklas.sarokaari@kone.com joona.romppanen@kone.com Cybersecurity Operations team: v.sathishkumar@kone.com mohamedthameemansare.m@kone.com jeyakarlmarx.j@kone.com jawaharlal.c@kone.com Cybersecurity Operations L1 team: abishekp.sam@kone.com gunasekaran.d@kone.com narendran.r@kone.com nithyanantham.t@kone.com jeevaraj.s@kone.com hariraj.l@kone.com",
KB000A7589,How to submit VDI Application Onboarding Request in ServiceNow,How to submit VDI Application Onboarding Request in ServiceNow,"VDI Application Onboarding Request form 1. This form to be used only if the application role is not available in MyAccess( https://myaccess.kone.com ) 2. The Application must be added to KONE CMDB and should have a Valid Owner to. 3. Please complete the Onboarding before requesting Application inside VDI 4. The Request should be approved by KONE VDI Service Manager 5. Application Packaging request or Manual Installation to be decided as per the complexity of the application 6. VDI team request for MyAccess role and test the application. Step 1: Login to ServiceNow and Go to Employee Center Page. In Search, type VDI application and select ""New application deployment request in VDI"" Step 2: Select the form and fill in the required information. Note:- T ake help from the App owner to find the required details or ask the App owner to complete this form for the application onboarding to VDI.",
KB000A7591,How to provide access to POC & GR remainder,How to provide access to POC & GR remainder,"POC & GR Remainer tool user creation access Step 1 : Open SQL Server Management 1.1 Once open SQL server management à Open production management à Enter server name production ‘ EUDVMMSSQL206\SEKO080P ’ 1.2 In SQL à Click Database à Click POC&GR Remaninding à Click Tables à Open GLB.User. 1.3 Please type the below SQL queries to create access for user in POC&GR remainder tool. insert into [GLB] . [User] ( [PK_PersonalId] , [FK_Unit] , [Email] , [FirstName] , [LastName] , [IsSuperAdmin] ) values ( 'k64121337' , '1' , 'cvenkatasai.naveen@kone.com' , 'CVenkataSai' , 'Naveen' , '1' ) 1.4 Once you provide access to user in POC&GR Remainder tool. User can able to access POC&GR Remainder tool.",
KB000A7592,KEO – Unable to upload Material Catalogue in the tool.,"KEO – Unable to upload Material Catalogue in the tool. Problem : User getting the below error while trying to upload material catalogue in the KEO tool. Error : An error has occurred. If the error persists, please contact your key user.","Solution : Please check the excel file shared by the unit and delete if there are any pictures overlapping one top of the other as shown below. Now save the file and try to upload the material catalogue, which fixes this issue.",
KB000A7602,TMS - How to provide Site Supervisor access to Transport Management System application.,TMS - How to provide Site Supervisor access to Transport Management System application.,"If using KONE AD account in operating system, log on to KONE IDP Users preferable URL: https://solutions.inet-logistics.com/ls/Login?LoginSystemId=KONEIDP External users log on to: https://solutions.inet-logistics.com/ls/Login?LoginSystemId=INETIDP On the page, open Dropdown-list called Menu and Master Data Management beyond as shown in the picture below: On following screen, open Master Data-menu and User: Following screen opens: You can create new user from the scratch, by selecting “Add another data record” -button and fill in the relevant fields: 1.1. User Id* Select a (later non-editable) ID, best practice is to use target person´s email address, e.g. emil.example@kone.com: 1.2. Mail* Add here persons email: 1.3. Add First name: 1.4. Add Last name: 1.5. Add persons mobile phone number (or if not available, then add any character): 1.6. On Authorizations -section: open breadcrumbs on to Shipper: to drill deeper down, click: in front of Organization-folder and select “Shipper”. 1.7. Click Assign Groups (see mouse hovering on the picture below): 1.8. On the opening list, select KONE Supervisors (KONSSuperv) and click Save on left top corner of the list: 1.9. Click the icon in front of Shippers, and then click word “KONE Supervisors (KONSSuperv) and detailed access group listing appears: 1.10. Enable “Oversteer routing” and “KONE: Supervisor view”: 1.11. On Additional section, insert to Measure -field value “Metric” or “US Customary” depending on user inside US or rest of the world: 1.12. Check Supervisor ID number from SAP and type it in with name (as it is on SAP): NOTE: leave empty space between supervisor number and name! E.g.: 1.13. As long as user is on KONE Active Directory, select value “KONEIDP” for the field of Identity provider * , (for external users, select INETIDP): 1.14. Copy email from KONE Active Directory case sensitively to User-Id External *: The ready fulfilled form looks like this: Please check letter sizes as highlighted field-wise for those 3 fields highlighted either on red or green color. When all ready, save changes by clicking Store Data Record: Remember to apply saved changes by clicking release and allocate:",
KB000A7603,TMS - How to provide Supply Line (SL) Logistics Coordinator access to Transport Management System application.,TMS - How to provide Supply Line (SL) Logistics Coordinator access to Transport Management System application.,"If using KONE AD account in operating system, log on to KONE IDP Users preferable URL: https://solutions.inet-logistics.com/ls/Login?LoginSystemId=KONEIDP External users log on to: https://solutions.inet-logistics.com/ls/Login?LoginSystemId=INETIDP On the page, open Dropdown-list called Menu and Master Data Management beyond as shown in the picture below: On following screen, open Master Data-menu and User: Following screen opens You can create new user from the scratch, by selecting “Add another data record” -button and fill in the relevant fields: 1.1. User Id* Select a (later non-editable) ID, best practice is to use target person´s email address, e.g. emil.example@kone.com: 1.2. Mail* Add here persons email: 1.3. Add First name: 1.4. Add Last name: 1.5. Add persons mobile phone number (or if not available, then add any character): 1.6. On Authorizations -section: open breadcrumbs on to Shipper: to drill deeper down, click: in front of Organization-folder and select “Shipper”. 1.7. Click Assign Groups (see mouse hovering on the picture below): 1.8. On the opening list, select KONE Shipper (KONSSHIP) and click Save on left top corner of the list: 1.9. Click the icon in front of Shippers, and then click word “KONE Shipper (KONSSHIP) and detailed access group listing appears: 1.10. Enable following functions from the opening list: 1.11. Click the icon in front of SchedulingPools and click word SchedulingPools: 1.12. Click Assign Groups: 1.13. Select a. Automatic Pool b. Manual pool and click Save on left top corner of the list: 1.14. Select Default Group (pool), by typing “A” and picking any of the pools appearing as options: Enable following functions from the opening list: 1.15. On Additional section, insert to Measure -field value “Metric” or “US Customary” depending on user inside US or rest of the world: 1.16. Since this user is not working as a Site Supervisor, you can type in word “dummy” on the staff number field: 1.17. As long as user is on KONE Active Directory, select value “KONEIDP” for the field of Identity provider * , (for external users, select INETID): 1.18. Copy email from KONE Active Directory case sensitively to User-Id External *: When all ready, save changes by clicking Store Data Record: Remember to apply saved changes by clicking release and allocate:",
KB000A7610,1PLAN - NON SAP Data load,How to upload Orderbook data for Non SAP countries ?,"What is Non Sap Data load ? 1plan gets the source data from BW & Beacon ( SAP ), but still few countries are not added and in SAP . Here we are going to do data load for 2 countries 1, BOSNIA(KBO) 2, CROATIA We will get the excel file in zipped format from business in every WD1 & WD9 (Twice a month) rarely once a month as shown below. Step 1, Download the Zip file from the mail and extract the file . Step 2 , In the zip file we have files for above 4 counties , We need to load two files for each country I ) Project data II ) Financial data Project Data, File name should be always “ Project_Database “ Name should be same as above while uploading in 1plan, In Project Database , we should check only two sheets i) Project Data ii) Equipment Data Please check the below steps to upload the file without any issue i) Remove the data without any title or table ii) Unique values should be true so that we can avoid duplicate values Unique values Formula is =countif( Project number column ,Project number A1)=1 Similar it we should do it for all, here we are comparing project numbers with the list so that we can avoid duplicate , iii) If we find Fales just delete the entire row and continue iv) Check the project number column that we have any symbol or alphabet other than Number , we have to delete that one too v) We have to do the same process for both Project Data & Equipment data Financial Data File name should be “ ProjectDatabase_FinancialData “ In this Excel we will be looking only the Financial Data , just copy the sheet and make it as separate Excel , Sheet name should be same as below , follow the same steps we did for Project Database Make these two excel as a folder for Each country , totally we will be having 4 folder to upload to 1plan. Steps to upload Excel to 1plan , Uploading should be done in non-working hours like late evening of IST time above 8 PM i) Open 1plan prod , click on import Icon ii) Here you will be getting a Pop up for importing data , Select Excel – and choose the path by using browse – here select the folder for first country iii) Then select the OrderBook (Non – SAP Countries) Then upload one by one for each country iv) To see changes in Values you can go to Forms – Analysis - Analysis (DPConfig) Here you can see the no of count getting increased after uploading for each country We have do this process during WD1 & WD 9 , once completed mail to the key users .",
KB000A7615,How to request a New infrastucture in Cloud,How can I request a new infrastucture in Cloud,"To request a New infrastructure in cloud, a service request is mandatory. FOR AWS & AZURE: In MyIT portal go to ""I need something new"" -> ""KONE WAY and IT"" -> ""KONE IT CLOUD"" Fill the standard Service request form and attach the filled KONE IT Cloud - New Infrastructure in Cloud HLD document. The template of KONE IT Cloud - New Infrastructure in Cloud requirements form is available in KONE IT cloud file name is DM21 Cloud Project Configuration File template ver1 https://kone.sharepoint.com/:x:/r/sites/KONEITCloud/_layouts/15/Doc.aspx?sourcedoc=%7B9BD94AE5-68CD-45B2-8D79-6843CD91503B%7D&file=DM21%20Cloud%20Project%20Configuration%20File%20template%20ver1.xlsx&action=default&mobileredirect=true FOR ALI: In MyIT portal go to ""I need something new"" -> ""KONE WAY and IT"" -> ""KONE IT CLOUD - China"" Fill the standard Service request form and attach the filled “KONE Alicloud Architecture Assessment Sheet” document. The template of KONE Alicloud Architecture Assessment Sheet is available in KONE IT cloud file name is KONE Alicloud Architecture Assessment Sheet template ver1 ： https://kone.sharepoint.com/:x:/r/sites/KONEITCloud/_layouts/15/Doc.aspx?sourcedoc=%7B8D6BF627-D7D2-4B67-809D-52D33E3E8842%7D&file=KONE-Alicloud-Architecture-Assessment-Sheet-Template-Ver1.xlsx&action=default&mobileredirect=true&xsdata=MDN8MDF8fGJiMDE4NjExYWQ1YzQ4NTBhMjU5NDdkZTk1YjEwNzA1fDJiYjgyYzY0MmViMTQzZjc4ODYyZmRjMWQyMzMzYjUwfDB8MHw2Mzc4Nzg1NDIxODkyOTMzODF8R29vZHxWR1ZoYlhOVFpXTjFjbWwwZVZObGNuWnBZMlY4ZXlKV0lqb2lNQzR3TGpBd01EQWlMQ0pRSWpvaVYybHVNeklpTENKQlRpSTZJazkwYUdWeUlpd2lWMVFpT2pFeGZRPT0%3D&sdata=T3k2QXVsOThJMmIrdnVRN0VBMjF0S29UVC91UlpRL21EUks2SHZaMzMyYz0%3D&ovuser=2bb82c64-2eb1-43f7-8862-fdc1d2333b50%2Czhenhua.shi%40kone.com",
KB000A7619,Jira - Request for New Space,How to request for a new Jira Space,"New Jira Space need to be requested from Jira users with valid Business Justification. Depending on which department this is relating to, follow the appropriate guidelines: For creating new Jira KONE IT & KONE R&D Spaces, use the Service Request form: Kone Employee Center Homepage - Kone Employee center Under Catalog Item tab New Space to Jira form will be present. Click and fill the required details These instructions are referring to Tribe, Teams& Portfolio Spaces. type of projects cannot be processed by a service request, but needs to be submitted as a new requirement.",
KB000A7620,Jira - Procedure to Create a New Jira Space for KONE IT(Tribe/ Portfolio),Jira - Procedure to Create a New Jira Space for KONE IT(Tribe/ Portfolio),"This knowledge article gives instructions on how to create new Jira Space for KONE IT. Requests for new KONE IT Space creation shall only be accepted via Service Catalog form. Jira Space in KONE IT are classified as Tribe Space , Portfolio Space. Any IT Space creation needs approval from Reunanen Johanna ( johanna.reunanen@kone.com ) In this KBA you can find the instructions for creating all 2 types of Jira Project For Jira Scrum/Kanban board creation Kindly follow the steps given in the KBA8190 NOTE: 1) After Approved from Reunanen Johanna , only you should proceed to create the Project To create the Jira Space, follow these instructions: 1. Log onto Jira and ensure that you have administrative permissions 2. Select Spaces - Create Space. Under Software development , select "" Scrum "" or "" Kanban "" based on the user's request and continue with "" Use Template "". On the next page, click on "" Select a company-managed project "". 3. Add the project details as provided in the Service Request form: Name : Space Name , min. 2 characters, max. 80 characters, Department names must be added in brackets to the Space name. Kindly check with user for which Department this project is created. Based on that add the Department name in brackets to the Space name. For example Software Solutions is the Space name requested by user. And this Project belongs to IT Supply Chain & Product Solutions - SCPS . Then the Space should be names as Software Solutions (SCPS) Below are details of the Department and some examples of updated Jira Space names Key : Prefix , min. 2 characters, max. 10 characters Select "" Share settings with an existing project "" and based on the User's request select the template: Case 1 : Type of Project to be created is Tribe Project , select "" KONE Tribe Template( KONETT ) "" Case 2: Type of Project to be created is Portfolio Project , select "" KONE Portfolio Template ( KPT ) "" Case 3 : Type of Project to be created is Simple Team Project , select "" xRD Vanilla Team Template(XRDVTT) "" NOTE: For managing the team backlogs. Levels: Epic Sets -> Epic -> Story/Task/bug ->Sub-Tasks Approval Needed from Leena Kangas NOTE : Levels: Initiative ->Epic Sets. Approval needed from Pekka Marttila or Juha Koponen to create this type of project. NOTE : Levels: Epic Sets -> Epic -> Story/Task/bug -> Sub-Tasks Approval needed from Pekka Marttila or J uha Koponen to create this type of project. And then Click on Next a prompt will come, Click Continue , the Project is created 4. Now that the project has been created, continue to assign the permissions. Select "" Space settings "" -> On the "" People "" tab, select "" Add people "" 5. Add the person specified in the service request form as administrator with role "" Administrators "". This will grant the Space administrator permissions to modify the Space, e.g. add additional administrators. Add "" JIRA_EIT_DCOE_Contributor "" with role "" Agile Team Member "". This will assign modify permissions for all users with the MyAccess role JIRA: EIT & DCOE Contributor role. This applies only to ""KONE IT"" Space! Other teams' Space are utilizing individual groups. 6. The group JIRA_KTI_TEAM group will be added by default with Observer role. Change the role to Contributor. 9. Then go to Space Settings -> Details and change the Space Category as KONE IT and also change the Space lead to user's name. By default, name will be IT support team member name. Then click on Save details . After creating a new Jira Space, it must be added to the automation, updated in the SharePoint Excel file, and integrated into the Anton Power BI connector query using the links provided below: Automation rules: Rule builder - Automation - Jira & Rule builder - Automation - Jira After creating a new Jira Space, it must be added to both automations attached in below attachment SharePoint Excel file: Jira community - Jira Project to Department Mapping - All Documents Power BI connector query: Power BI Connector - Jira For Jira Scrum/Kanban board creation Kindly follow the steps given in the KBA8190",
KB000A7632,AskIT - How to raise SAP ERP(Z0*) systems access requests for China users using GRC Form,How to raise SAP ERP(Z0*) systems access requests for China users using GRC Form?,"Objective : This KB article explains the process / steps to be followed while submitting SAP ERP (Z0*) systems related access requests for China Users using GRC form by AskIT team. Note: AskIT team has to handle only new user's access requests based on Clone ID for China users for SAP ERP (Z0*) systems access requests. Any other access requests (ServiceNow Tickets) for SAP ERP (Z0*) systems need to be routed to Infosys Support Team (Infosys China Security support Team) along with filled in template. (Please refer to respective China unit's approval process before routing the requests to Infosys support team.) We have 3 separate units in China region and the process to be followed is different for different China unit user's access requests for SAP ERP (Z0*) systems. a> China Front Line (FL) b> China Supply Line (SL) c> China Giant KONE (GK) When China users reach out to AskIT team for SAP ERP (Z0*) systems access request, then please ask to which China unit among above 3 units he / she belongs to. Based on user's unit, please follow corresponding unit's related process as explained below. a> Process / steps to be followed for ""China Front Line (FL)"" user's access requests in GRC form by AskIT team. Step 1> Provide blank template of ""SAP ERP Access Form China"" to respective user and ask to fill in the template with required access details and get the filled in template reviewed and approved by respective Change Manager. Once respective change manager has approved the filled in template, user has to send the respective filled in template and approval mail to AskIT team for creating access request using GRC form. Note: Please refer to blank template of ""SAP_ERP_Access_Form_China"" attached to ""Notes & Attachments"" section of this KB Article. Step 2> AskIT team has to check if the filled in access form template is reviewed and approved by corresponding change manager in mail or not. If the user belongs to ""China FL(CHN) - NEB"" OR ""China FL(CHN) - FICO"" as per template then filled in template has to be reviewed and approved by Change Manager : CHNAMPEN (Amy Jia Peng ) If the user belongs to China FL(CHN) - SEB as per template then filled in template has to be reviewed and approved by Change Manager : CHNJUZHU (Julia Zhu Li Min) If the corresponding change manager not reviewed / approved filled in template then send back the template to user and ask to get the approval from corresponding change manager mentioned above. Step 3> If the filled in template reviewed and approved by corresponding change manager then Ask IT team has to attach the approval mail and filled in template to corresponding ServiceNow ticket and can submit the access request in GRC Form for new users based on Clone ID. Please follow below steps to raise a GRC request for new user access provisioning in SAP systems based on the clone ID. You can navigate to the GRC SAP Access Request form by following the below instructions. 1. Open GRP Production (SSO) from SAP GUI log on pad. 2. Execute ZFORM t-code. 3. After executing the ""ZFORM"" t-code, an Access Request Form will be opened then please fill in the details as per the template. While filling the GRC access request form, AskIT team has to replace the ""Manager ID"" with corresponding ""change manager's ID"" in the GRC form manually for China Front Line users. If the request is not for ""New user based on Clone ID"" then route such requests to ""Infosys China Security support Team"" attaching filled in template and approval mail from corresponding change manager to respective Remedy ticket. Below KB Article contains steps to be followed for Clone ID based access requests in GRC form. KBA7107: https://koneprod.service-now.com/now/nav/ui/classic/params/target/kb_view.do%3Fsys_kb_id%3D73bfbbd5c33e5e18b1b4d2e90501310e Once request submitted by AskIT in GRC Form, request will go through below approval path in GRC for China Front line user's access requests. b> Process / steps to be followed for China Supply Line(SL) user's access requests in GRC form by AskIT team. Step 1> Provide blank template of ""SAP_ERP_Access_Form_China"" to respective user and ask to fill in the template with required access details and send the filled in template back to AskIT team for creating access request in GRC. Step 2> Once filled in template received, AskIT team can submit the request in GRC Form for new users based on Clone ID. If the request is not for ""New user based on Clone ID"" then route such requests to ""Infosys China Security support Team"" attaching filled in template to respective ServiceNow ticket. Below KB Article contains steps to be followed for Clone ID based access requests in GRC form. KBA7107: https://koneprod.service-now.com/now/nav/ui/classic/params/target/kb_view.do%3Fsys_kb_id%3D73bfbbd5c33e5e18b1b4d2e90501310e Once request submitted by AskIT in GRC Form, request will go through below approval path in GRC for China Supply Line(SL) user's access requests. C> Process / steps to be followed for China Giant KONE (GK) user's access requests in GRC form by AskIT team. Step 1> Provide blank template of ""SAP_ERP_Access_Form_China"" to respective user and ask to fill in the template with required access details and send the filled in template back to AskIT team for creating access request in GRC. Step 2> Once filled in template received, AskIT team can submit the request in GRC Form for new users based on Clone ID. If the request is not for ""New user based on Clone ID"" then route such requests to ""Infosys China Security support Team"" attaching filled in template to respective ServiceNow ticket. Below KB Article contains steps to be followed for Clone ID based access requests in GRC form. KBA7107: https://koneprod.service-now.com/now/nav/ui/classic/params/target/kb_view.do%3Fsys_kb_id%3D73bfbbd5c33e5e18b1b4d2e90501310e Once request submitted by AskIT in GRC Form, request will go through below approval path in GRC for China Giant KONE (GK) user's access requests. Common Notes / Instructions for all requests submitted by AskIT 1> Once GRC form request is created, please add the below comments into Resolution section of the ServiceNow ticket. Note : In the below comments before adding to the ticket, please replace requester name in < requester name> and GRC request number created in <GRC request number>. --------------------------------------------------- Hello <Requester name>, We have Replaced your ticket for access to Z0* systems by creating GRC request: <GRC request number>. From 2019 onwards, we are processing all SAP access requests through GRC. Please note that access will provided upon resolution of GRC request. For checking the GRC request status please follow the link: https://knecigrp9800.konenet.com:44398/sap/bc/webdynpro/sap/zkone_search_request?sap-client=100&sap-language=EN # Did you know that GRC Access Request in now LIVE for your region? In the future, for SAP access requests for Z0* systems, you can raise a GRC request – resolution is FASTER since it is automated! please use following link: https://knecigrp9800.konenet.com:44398/sap/bc/webdynpro/sap/zkone_end_users # to raise GRC request yourself. Refer KBA1169 on How to raise GRC request. You can login with your KONE credentials. In case you have any queries, please send a mail to CommonPlatforms.ServiceDesk@kone.com --------------------------------------------------------- 2> Before raising / creating the access request, please must follow instructions / validations explained in below knowledge base article link as pre-requisite. KBA7350: https://koneprod.service-now.com/now/nav/ui/classic/params/target/kb_view.do%3Fsys_kb_id%3Ddc909e93c3ed46505d2900e9d0013149%26sysparm_rank%3D7%26sysparm_tsqueryId%3Dbc1f53b947278290041f8f33036d4301 3> In some cases, New Users may request SAP ERP systems access requests based on Clone ID with exclusion of some roles from Clone ID, AskIT team can route such requests (ServiceNow Tickets) to Infosys SAP support team (Infosys China SAP Security Team) following required process of respective China unit before routing the request to Infosys team.",
KB000A7642,How to change the Audio Conferencing toll numbers location.,How to change the Audio Conferencing toll numbers location?,"Assignment Group: CUST.KONE.INT.SD Issue Description: Eg: The call-in number (audio only) information is showing up for Belgium, Bruxelles/Brussels. This should be a United States number. See screenshot. Solution : Required roles and access to make the changes ü Teams Administrator role Steps to be followed 1. Open Teams Admin 2. Navigate to Users->Manage users 3. Search the user and open it 4. Click on EDIT in Infront of Audio Conferencing 5. Change the Toll number location and SAVE according to the user's request and ask them to check it after 1-2 hours.",
